objectid,structid,address,streetname,crossstreet1,crossstreet2,ward,botanical_name,dbh_trunk
1,NY135354,46,HAVENBROOK BLVD,DEEPGLADE CRES,DEEPGLADE CRES,17,Picea pungens,55
2,536395,5,BERKINDALE DR,HEATHCOTE AVE,BERKINDALE CRES,15,Betula papyrifera,32
3,99702,21,MADONNA GDNS,PLUNKETT RD,ANTHIA DR,07,Amelanchier canadensis,6
4,NY112795,325,MAPLE LEAF DR,KATIE CRT,CIRILLO CRT,05,Morus alba 'pendula',10
5,168956,2,ST ANDREWS BLVD,ISLINGTON AVE,YORK RD ET,01,Gymnocladus dioicus,8
6,633119,145,DISCO RD,CARLINGVIEW DR,ATTWELL DR,01,Juglans nigra,8
7,417252,205,HUMBER COLLEGE BLVD,ARBORETUM BLVD HUMBER COLL,WINDWOOD DR,01,Gymnocladus dioicus,8
8,ET46701,20,HOLLOWAY RD,AVONHURST RD,ROYALAVON CRES,03,Salix x sepulcralis 'Chrysocoma',120
9,628545,22,PAULINE AVE,LN N BLOOR W PAULINE,WALLACE AVE,09,Quercus macrocarpa,4
10,SC20252,17,FLUELLEN DR,TIMBERBANK BLVD,HUNTINGWOOD DR,22,Acer platanoides,48
11,375807,37,PINE RIDGE DR,LEDGE RD,MEADOWCLIFFE DR,20,Picea pungens,25
12,ET5053,54,ASH CRES,TWENTY EIGHTH ST,WALNUT CRES,03,Acer saccharinum,66
13,612632,164,PEMBERTON AVE,LONGMORE ST,MAXOME AVE,18,Aesculus x carnea 'Briotii',6
14,392286,14,SILKWOOD CRES,DENVER CRES,SHAUGHNESSY BLVD,17,Ulmus pumila,32
15,SC64563,56,WOODGARDEN CRES,WOODGROVE DR,MELCHIOR DR,25,Tilia,56
16,517189,10,FLANDERS RD,DEWBOURNE AVE,LN S EGLINTON W FLANDERS,12,Pyrus calleryana 'Chanticleer',14
17,YO10229,473,RIDELLE AVE,DANESBURY AVE,TIMES RD,08,Morus,10
18,TO11941,515,BRIAR HILL AVE,MONA DR,CASTLEWOOD RD,08,Picea pungens,41
19,TO3942,90,CROATIA ST,DUFFERIN ST,BROCK AVE,09,Acer platanoides,63
20,699142,56,GUILD HALL DR,ROSELM RD,ELLINGTON DR,21,Quercus alba,6
21,NY92285,53,HEATHVIEW AVE,FINCHGATE CRT,BRUCEDALE CRES,17,Acer saccharinum,81
22,NY28242,20,HESKETH CRT,SLOANE AVE,SLOANE AVE,16,Thuja occidentalis,22
23,330502,22,IONVIEW RD,CORINNE CRES,LANDSEER RD,21,Acer platanoides,5
24,638054,19,GALT AVE,LN N DAGMAR E GALT,LN S GERRARD E MARJORY,14,Gleditsia triacanthos f. inermis 'Skyline',6
25,420319,38,BATHFORD CRES,BATHFORD LANE,CHASE RD,17,Acer saccharum,36
26,512133,144,JOICEY BLVD,JAINEY PL,ELM RD,08,Acer palmatum,5
27,249273,20,CADBURY CRT,CHANCERY LANE,None,24,Gleditsia triacanthos,65
28,188460,90,WOODBINE DOWNS BLVD,CARRIER DR,None,01,Quercus macrocarpa,8
29,640432,2,KINLOSS RD,ELMHURST DR,KENNEBEC CRES,01,Platanus x acerifolia 'Bloodgood',6
30,TO1156,83,ALEXANDER ST TORONTO,CHURCH ST TORONTO,ALEXANDER PL,13,Acer platanoides 'Crimson King',57
31,NY118309,18,BLYTH HILL RD,BLANCHARD RD,BLYTH DALE RD,15,Pinus strobus,25
32,435651,245,MARKLAND DR,SILVERTHORNE BUSH DR,BLOOR ST W,02,Pinus nigra,27
33,133504,93,MARGUERETTA ST,LN 2 N COLLEGE W MARGUERETTA,LN 3 N COLLEGE W MARGUERETTA,09,Acer saccharinum,110
